2025-12-10 00:05:24 - INFO - Processed 1480/25287 rows
2025-12-10 00:07:21 - INFO - Processed 1490/25287 rows
2025-12-10 00:07:38 - INFO - Processed 1500/25287 rows
2025-12-10 00:07:45 - INFO - Processed 1510/25287 rows
2025-12-10 00:08:00 - INFO - Processed 1520/25287 rows
2025-12-10 00:18:27 - INFO - Processed 1530/25287 rows
2025-12-10 00:32:01 - INFO - Processed 1540/25287 rows
2025-12-10 00:32:08 - INFO - Processed 1550/25287 rows
2025-12-10 00:33:18 - INFO - Processed 1560/25287 rows
2025-12-10 00:33:34 - INFO - Processed 1570/25287 rows
2025-12-10 00:42:35 - INFO - Processed 1580/25287 rows
2025-12-10 00:48:19 - INFO - Processed 1590/25287 rows
2025-12-10 00:53:38 - INFO - Processed 1600/25287 rows
2025-12-10 00:59:08 - INFO - Processed 1610/25287 rows
2025-12-10 01:08:33 - INFO - Processed 1620/25287 rows
2025-12-10 01:15:01 - INFO - Processed 1630/25287 rows
2025-12-10 01:20:31 - INFO - Processed 1640/25287 rows
2025-12-10 01:20:37 - INFO - Processed 1650/25287 rows
2025-12-10 01:26:10 - INFO - Processed 1660/25287 rows
2025-12-10 01:31:10 - INFO - Processed 1670/25287 rows
2025-12-10 01:31:35 - INFO - Processed 1680/25287 rows
2025-12-10 01:31:56 - INFO - Processed 1690/25287 rows
2025-12-10 01:37:24 - INFO - Processed 1700/25287 rows
2025-12-10 01:42:41 - INFO - Processed 1710/25287 rows
2025-12-10 01:42:48 - INFO - Processed 1720/25287 rows
2025-12-10 01:45:43 - INFO - Processed 1730/25287 rows
2025-12-10 01:51:08 - INFO - Processed 1740/25287 rows
2025-12-10 01:51:58 - INFO - Processed 1750/25287 rows
2025-12-10 01:52:14 - INFO - Processed 1760/25287 rows
2025-12-10 01:57:32 - INFO - Processed 1770/25287 rows
2025-12-10 01:58:00 - INFO - Processed 1780/25287 rows
2025-12-10 01:58:31 - INFO - Processed 1790/25287 rows
2025-12-10 01:59:52 - INFO - Processed 1800/25287 rows
2025-12-10 02:00:32 - INFO - Processed 1810/25287 rows
2025-12-10 02:00:46 - INFO - Processed 1820/25287 rows
2025-12-10 02:01:00 - INFO - Processed 1830/25287 rows
2025-12-10 02:02:19 - INFO - Processed 1840/25287 rows
2025-12-10 02:02:29 - INFO - Processed 1850/25287 rows
2025-12-10 02:02:36 - INFO - Processed 1860/25287 rows
2025-12-10 02:03:00 - INFO - Processed 1870/25287 rows
2025-12-10 02:03:23 - INFO - Processed 1880/25287 rows
2025-12-10 02:05:27 - INFO - Processed 1890/25287 rows
2025-12-10 02:08:07 - INFO - Processed 1900/25287 rows
2025-12-10 02:14:29 - INFO - Processed 1910/25287 rows
2025-12-10 02:22:07 - INFO - Processed 1920/25287 rows
2025-12-10 02:22:34 - INFO - Processed 1930/25287 rows
2025-12-10 02:30:26 - INFO - Processed 1940/25287 rows
2025-12-10 02:31:11 - INFO - Processed 1950/25287 rows
2025-12-10 02:31:51 - INFO - Processed 1960/25287 rows
2025-12-10 02:32:11 - INFO - Processed 1970/25287 rows
2025-12-10 02:32:22 - INFO - Processed 1980/25287 rows
2025-12-10 02:32:39 - INFO - Processed 1990/25287 rows
2025-12-10 02:40:39 - INFO - Processed 2000/25287 rows
2025-12-10 02:46:21 - INFO - Processed 2010/25287 rows
2025-12-10 02:46:31 - INFO - Processed 2020/25287 rows
2025-12-10 02:57:45 - INFO - Processed 2030/25287 rows
2025-12-10 02:57:59 - INFO - Processed 2040/25287 rows
2025-12-10 02:58:33 - INFO - Processed 2050/25287 rows
2025-12-10 02:59:26 - INFO - Processed 2060/25287 rows
2025-12-10 03:04:55 - INFO - Processed 2070/25287 rows
2025-12-10 03:06:59 - INFO - Processed 2080/25287 rows
2025-12-10 03:10:14 - INFO - Processed 2090/25287 rows
2025-12-10 03:23:02 - INFO - Processed 2100/25287 rows
2025-12-10 03:28:23 - INFO - Processed 2110/25287 rows
2025-12-10 03:28:51 - INFO - Processed 2120/25287 rows
2025-12-10 03:28:58 - INFO - Processed 2130/25287 rows
2025-12-10 03:29:19 - INFO - Processed 2140/25287 rows
2025-12-10 03:36:45 - INFO - Processed 2150/25287 rows
2025-12-10 03:43:54 - INFO - Processed 2160/25287 rows
2025-12-10 03:45:46 - INFO - Processed 2170/25287 rows
2025-12-10 03:46:07 - INFO - Processed 2180/25287 rows
2025-12-10 03:51:32 - INFO - Processed 2190/25287 rows
2025-12-10 03:57:49 - INFO - Processed 2200/25287 rows
2025-12-10 04:00:45 - INFO - Processed 2210/25287 rows
2025-12-10 04:03:43 - INFO - Processed 2220/25287 rows
2025-12-10 04:04:32 - INFO - Processed 2230/25287 rows
2025-12-10 04:07:53 - INFO - Processed 2240/25287 rows
2025-12-10 04:15:44 - INFO - Processed 2250/25287 rows
2025-12-10 04:16:02 - INFO - Processed 2260/25287 rows
2025-12-10 04:23:13 - INFO - Processed 2270/25287 rows
2025-12-10 04:28:38 - INFO - Processed 2280/25287 rows
2025-12-10 04:30:23 - INFO - Processed 2290/25287 rows
